catchment_poly_id,region,overall_priority_rank,overall_priority_tier,programme_priority_type,overall_priority_score,corisk_score,service_deficit_score,service_deficit_std,scd_admissions,scd_deaths,rr_admissions,rr_deaths
138,NA,23,Priority 1 (highest),Lower immediate priority,0.7394773797001568,0.6432830659447222,4,1,0,0,1.4925921753964718e-8,2.503178633982541e-10
164,NA,24,Priority 1 (highest),Access strengthening priority,0.7366953785881667,0.8871008412494894,3,0.75,2371,11,5.163046219866168e-8,2.5896394202758597e-10
96,NA,25,Priority 1 (highest),Lower immediate priority,0.7353361419234,0.6340803152964822,4,1,0,0,2.6655887278177337e-8,3.9983002620269803e-10
123,NA,26,Priority 1 (highest),Lower immediate priority,0.7347237818887272,0.8827195153072018,3,0.75,0,0,2.73358243103539e-11,4.864203480565481e-12
255,NA,27,Priority 1 (highest),Lower immediate priority,0.7331275603909546,0.6291723564013438,4,1,0,0,1.706098432059179e-9,1.0349916063519101e-10
84,NA,28,Priority 1 (highest),Lower immediate priority,0.7327652598576818,0.6283672441240228,4,1,0,0,1.8412870140065362e-10,1.8714509332486108e-11
191,NA,29,Priority 1 (highest),Access strengthening priority,0.7286506003901637,0.869223556389303,3,0.75,0,0,6.03081716068811e-9,1.4977228471883612e-10
139,NA,30,Priority 1 (highest),Lower immediate priority,0.7255766896494005,0.612392643657976,4,1,0,0,3.637495924506313e-10,3.311353366494061e-11
97,NA,31,Priority 1 (highest),Lower immediate priority,0.7251604145056435,0.6114675877830663,4,1,0,0,2.488374609096024e-10,3.263736942103157e-11
34,NA,32,Priority 1 (highest),Lower immediate priority,0.7229552621623333,0.6065672492252114,4,1,0,0,2.1944466728913625e-9,1.0988249751460524e-10
175,NA,33,Priority 1 (highest),Access strengthening priority,0.720633728351101,0.8514082845107305,3,0.75,3698,26,4.5625501230136564e-7,3.212722564851408e-9
105,NA,34,Priority 1 (highest),Lower immediate priority,0.7190834450901745,0.8479632113070742,3,0.75,0,0,1.8707424924948478e-10,1.991221498350255e-11
99,NA,35,Priority 1 (highest),Lower immediate priority,0.7185622911728198,0.5968050914790408,4,1,0,0,9.188015906941852e-10,7.251270445388026e-11
60,NA,36,Priority 1 (highest),Lower immediate priority,0.7157234507213291,0.5904965570006799,4,1,0,0,4.923524462871779e-8,7.102308285724024e-10
137,NA,37,Priority 1 (highest),Lower immediate priority,0.7154229615224454,0.5898288033759443,4,1,0,0,3.011148968042176e-10,3.2704399961797136e-11
88,NA,38,Priority 1 (highest),Lower immediate priority,0.7137226981779345,0.5860504403912019,4,1,11,0,3.410268136855296e-10,1.8935485397528668e-11
115,NA,39,Priority 1 (highest),Lower immediate priority,0.7135260836180861,0.8356135191480458,3,0.75,0,0,9.827174280220816e-11,1.4654976443884542e-11
187,NA,40,Priority 1 (highest),Access strengthening priority,0.7124155064033487,0.8331455697423206,3,0.75,0,0,5.989807060887785e-9,1.9304433593652387e-10
177,NA,41,Priority 1 (highest),Access strengthening priority,0.7120195415080507,0.8322656477797696,3,0.75,1818,3,2.4180758401050274e-8,7.15435753187092e-11
35,NA,42,Priority 1 (highest),Lower immediate priority,0.7114924300722137,0.5810942890440041,4,1,0,0,1.8868352413250943e-10,2.4119863062694366e-11
146,NA,43,Priority 1 (highest),Lower immediate priority,0.7085932246655327,0.5746516103278198,4,1,0,0,4.491794636072526e-9,1.8013791418473133e-10
141,NA,44,Priority 1 (highest),Lower immediate priority,0.7083963268728202,0.5742140596979546,4,1,0,0,1.0777683219191683e-9,8.740614914983285e-11
161,NA,45,Priority 1 (highest),Lower immediate priority,0.7060524803196672,0.8190055117773846,3,0.75,39,0,1.7727932509253198e-8,1.9843998382356647e-10
160,NA,46,Priority 1 (highest),Lower immediate priority,0.7059245263105568,0.8187211695590787,3,0.75,0,0,2.119984207598455e-9,8.971381961358331e-11
162,NA,47,Priority 1 (highest),Lower immediate priority,0.7051987419246715,0.8171083148679397,3,0.75,4585,74,1.48468543763859e-7,2.340985066212659e-9
152,NA,48,Priority 1 (highest),Lower immediate priority,0.7045653521837631,0.8157007826096898,3,0.75,0,0,1.5213690252255955e-9,9.402720052792564e-11
122,NA,49,Priority 1 (highest),Lower immediate priority,0.7019670105626837,0.5599266901375314,4,1,0,0,4.0006581565534974e-11,7.946256921121496e-12
166,NA,50,Priority 1 (highest),Lower immediate priority,0.7009025054232184,0.5575611228988664,4,1,0,0,9.282981393872843e-8,1.187284803611413e-9
