catchment_poly_id,region,n_scenarios_top50,robustness_class,score_base,score_corisk_emphasis,score_service_emphasis,score_no_burden,score_death_heavy,score_admission_heavy,corisk_score,service_deficit_std
134,NA,6,Highly robust priority,0.7542104988979175,0.7056139985241612,0.8028069992716739,0.8380116654208121,0.6704093323750229,0.6704093337996951,0.6760233308416241,1
94,NA,6,Highly robust priority,0.752711598852455,0.7036154651339482,0.8018077325709615,0.8363462209383112,0.6690769767665987,0.6690769771456622,0.6726924418766224,1
130,NA,6,Highly robust priority,0.7515004929606303,0.7020006572749037,0.8010003286463567,0.8350005477142448,0.6680004382070157,0.6680004395583391,0.6700010954284896,1
93,NA,6,Highly robust priority,0.7446330957301063,0.692844127638911,0.7964220638213013,0.8273701063626828,0.6618960850975297,0.6618960851790561,0.6547402127253656,1
171,NA,6,Highly robust priority,0.7424664290520733,0.6899552387348493,0.794977619369297,0.8249626989425871,0.6599701591615593,0.6599701592518644,0.6499253978851742,1
138,NA,6,Highly robust priority,0.7394773797001568,0.685969839591865,0.7929849198084484,0.8216415329723611,0.6573132264279525,0.6573132293630732,0.6432830659447222,1
96,NA,6,Highly robust priority,0.7353361419234,0.6804481892178723,0.7902240946289276,0.8170401576482411,0.6536321261985589,0.6536321314497704,0.6340803152964822,1
255,NA,6,Highly robust priority,0.7331275603909546,0.6775034138511562,0.788751706930753,0.8145861782006719,0.6516689425812374,0.6516689429017573,0.6291723564013438,1
84,NA,6,Highly robust priority,0.7327652598576818,0.6770203464762852,0.7885101732390783,0.8141836220620113,0.651346897653352,0.6513468976864348,0.6283672441240228,1
139,NA,6,Highly robust priority,0.7255766896494005,0.667435586198097,0.7837177931007041,0.806196321828988,0.6449570574698131,0.6449570575359403,0.612392643657976,1
97,NA,6,Highly robust priority,0.7251604145056435,0.6668805526731035,0.7834402763381836,0.8057337938915332,0.644587035119754,0.6445870351629941,0.6114675877830663,1
34,NA,6,Highly robust priority,0.7229552621623333,0.663940349546115,0.7819701747785516,0.8032836246126057,0.6426268997120611,0.6426269001289739,0.6065672492252114,1
170,NA,5,Highly robust priority,0.7545646124524501,0.7810861499346199,0.7280430749702801,0.8384051249405663,0.6707240999643337,0.6707241003123171,0.9268102498811326,0.75
178,NA,5,Highly robust priority,0.7524535285620029,0.7782713714151923,0.7266356857088133,0.8360594761772984,0.6688475809467074,0.6688475810102663,0.9221189523545966,0.75
164,NA,5,Highly robust priority,0.7366953785881667,0.75726050477559,0.7161302524007431,0.8185504206247447,0.6548403365515887,0.6548403468258883,0.8871008412494894,0.75
123,NA,5,Highly robust priority,0.7347237818887272,0.7546317091848075,0.714815854592647,0.8163597576536009,0.6530878061238538,0.653087806128348,0.8827195153072018,0.75
